Time,V Pop,H Pop,Curr Win %,LS Win %,Last Game,Last Attendance vs Opp,Capacity,Home,Visitor,Playoffs?,Last Five,Day of Week,Month,Rivalry?,Attendance
1990-01-13,13,4,0.5517241379310345,0.6710526315789473,8763.0,14050.0,17027.0,Denver Nuggets,Phoenix Suns,0,5.0,Saturday,January,0,14070.0
1990-01-13,9,2,0.2,0.1891891891891892,15008.0,15008.0,15008.0,Miami Heat,Boston Celtics,0,0.0,Saturday,January,0,15008.0
1990-01-13,19,3,0.2857142857142857,0.6790123456790124,15025.0,15025.0,15025.0,Golden State Warriors,Orlando Magic,0,1.0,Saturday,January,0,15025.0
1990-01-13,2,4,0.53125,0.5797101449275363,13762.0,16912.0,16912.0,Indiana Pacers,Milwaukee Bucks,0,3.0,Saturday,January,0,12180.0
1990-01-13,4,4,0.6785714285714286,0.6103896103896104,17491.0,17850.0,18212.0,New York Knicks,San Antonio Spurs,0,3.0,Saturday,January,0,18212.0
1990-01-15,4,2,0.6551724137931034,0.6710526315789473,15369.0,20273.0,20273.0,Cleveland Cavaliers,San Antonio Spurs,0,2.0,Monday,January,0,17657.0
1990-01-15,5,4,0.5714285714285714,0.6710526315789473,14070.0,10935.0,17027.0,Denver Nuggets,Dallas Mavericks,0,2.0,Monday,January,0,9256.0
1990-01-15,3,4,0.5714285714285714,0.5797101449275363,12180.0,16530.0,16912.0,Indiana Pacers,Golden State Warriors,0,3.0,Monday,January,0,11189.0
1990-01-15,7,5,0.1875,0.6987951807228916,17505.0,17000.0,17506.0,Los Angeles Lakers,Sacramento Kings,0,1.0,Monday,January,0,16844.0
1990-01-15,17,4,0.6896551724137931,0.6103896103896104,18212.0,19763.0,18212.0,New York Knicks,Chicago Bulls,0,4.0,Monday,January,1,18212.0
1990-01-15,1,13,0.5666666666666667,0.6470588235294118,14487.0,14487.0,47487.0,Phoenix Suns,Charlotte Hornets,0,5.0,Monday,January,0,13643.0
1990-01-16,3,2,0.5454545454545454,0.5512820512820513,17901.0,18633.0,18633.0,Milwaukee Bucks,Golden State Warriors,0,3.0,Tuesday,January,0,18633.0
1990-01-16,5,7,0.21212121212121213,0.3472222222222222,17014.0,17014.0,17017.0,Sacramento Kings,Atlanta Hawks,0,2.0,Tuesday,January,0,17014.0
1990-01-16,4,2,0.71875,0.4533333333333333,12884.0,12888.0,12884.0,Portland Trail Blazers,Denver Nuggets,0,4.0,Tuesday,January,0,12884.0
1990-01-17,13,5,0.5806451612903226,0.5405405405405406,17007.0,14713.0,17007.0,Dallas Mavericks,Phoenix Suns,0,5.0,Wednesday,January,0,17007.0
1990-01-17,2,8,0.4848484848484849,0.1891891891891892,16611.0,14681.0,16616.0,Houston Rockets,Cleveland Cavaliers,0,4.0,Wednesday,January,0,14439.0
1990-01-17,4,2,0.2258064516129032,0.1891891891891892,15008.0,15008.0,15008.0,Miami Heat,Indiana Pacers,0,1.0,Wednesday,January,0,15008.0
1990-01-17,3,8,0.5862068965517241,0.5070422535211268,12634.0,9441.0,18168.0,Philadelphia 76ers,Detroit Pistons,0,3.0,Wednesday,January,0,13127.0
1990-01-17,4,4,0.6666666666666666,0.25675675675675674,15543.0,15543.0,15910.0,San Antonio Spurs,New York Knicks,0,3.0,Wednesday,January,0,15910.0
1990-01-17,5,4,0.6451612903225806,0.5974025974025974,12616.0,12616.0,12616.0,Utah Jazz,Atlanta Hawks,0,4.0,Wednesday,January,0,12616.0
