model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std
SVM (RBF),0.9171926417435399,0.008850665328794754,0.8599769775008343,0.06740811419309473,0.5177295918367347,0.06517180539728173,0.6426030220463311,0.049375274174720284,0.8895533476548515,0.026568647746869123,0.7667181034933327,0.043417047141459206
XGBoost,0.9318866770962579,0.011004668519934925,0.8465272586325217,0.04164441141130987,0.6498724489795917,0.08711716364580893,0.7316007803322249,0.05831455840637187,0.898344372836854,0.03853800004672617,0.8020599995123492,0.06399316712922283
