model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std
SVR (RBF),1654.7947431623702,326.75048899589103,2143.7418188243705,374.2100620729054,0.3528661491566057,0.047818337784554216
XGBoost,1385.9865292305046,282.21647228804056,1913.0536787617543,352.6240447772644,0.47991497786538506,0.10629415382784725
